"","Speaker","Listener","Lines","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Lemma"
"20","ARTHUR","AMOS","Sorry Amos. Some of us had a bit of a sleepy start. This is Amos Diggory everyone, he works with me at the ministry.","sorry amos. some of us had a bit of a sleepy start. this is amos diggory everyone, he works with me at the ministry.","sorry amos. some of us had a bit of a sleepy start. this is amos diggory everyone, he works with me at the ministry.","sorry amos.   us   bit   sleepy start.   amos diggory everyone,  works     ministry.","sorry amos   us   bit   sleepy start   amos diggory everyone  works     ministry","sorry amos   us   bit   sleepy start   amos diggory everyone  works     ministry","sorry amos us bit sleepy start amos diggory everyone works ministry","sorry amos us bite sleepy start amos diggory everyone work ministry"
"21","ARTHUR","HERMIONE","And this strapping young lad must be  ","and this strapping young lad must be  ","and this strapping young lad must be  ","  strapping young lad must   ","  strapping young lad must   ","  strapping young lad must   "," strapping young lad must ","strap young lad must"
"22","ARTHUR","CEDRIC","Cedric, am I right?  ","cedric, am i right?  ","cedric, am i right?  ","cedric,   right?  ","cedric   right  ","cedric   right  ","cedric right ","cedric right"
"23","CEDRIC","ARTHUR","Yes SIRIUS.  ","yes sirius.  ","yes sirius.  ","yes sirius.  ","yes sirius  ","yes sirius  ","yes sirius ","yes sirius"
"24","AMOS","HARRY","Merlin's beard, you must be Harry Potter.  ","merlin's beard, you must be harry potter.  ","merlin's beard, you must be harry potter.  ","merlin's beard,  must  harry potter.  ","merlins beard  must  harry potter  ","merlins beard  must  harry potter  ","merlins beard must harry potter ","merlin beard must harry potter"
"25","HARRY","AMOS","Yes SIRIUS. This way.  ","yes sirius. this way.  ","yes sirius. this way.  ","yes sirius.  way.  ","yes sirius  way  ","yes sirius  way  ","yes sirius way ","yes sirius way"
"26","AMOS","HARRY","Great great pleasure.  ","great great pleasure.  ","great great pleasure.  ","great great pleasure.  ","great great pleasure  ","great great pleasure  ","great great pleasure ","great great pleasure"
"27","HARRY","AMOS","Pleasure to meet you too SIRIUS.  ","pleasure to meet you too sirius.  ","pleasure to meet you too sirius.  ","pleasure  meet   sirius.  ","pleasure  meet   sirius  ","pleasure  meet   sirius  ","pleasure meet sirius ","pleasure meet sirius"
"28","ARTHUR","AMOS","That's it SIRIUS, just over there.  ","that's it sirius, just over there.  ","that's it sirius, just over there.  ","  sirius, just  .  ","  sirius just    ","  sirius just    "," sirius just ","sirius just"
"29","AMOS","ARTHUR","Shall we? We don't want to be late.  ","shall we? we don't want to be late.  ","shall we? we don't want to be late.  ","shall ?   want   late.  ","shall    want   late  ","shall    want   late  ","shall want late ","shall want late"
"30","HARRY","FRED","Why are they all standing around that manky old boot? ","why are they all standing around that manky old boot? ","why are they all standing around that manky old boot? ","    standing around  manky old boot? ","    standing around  manky old boot ","    standing around  manky old boot "," standing around manky old boot ","stand around manky old boot"
"31","FRED","HARRY","That isn't just any old manky boot mate.  ","that isn't just any old manky boot mate.  ","that isn't just any old manky boot mate.  ","  just  old manky boot mate.  ","  just  old manky boot mate  ","  just  old manky boot mate  "," just old manky boot mate ","just old manky boot mate"
"32","GEORGE","HARRY","It's a portkey.  ","it's a portkey.  ","it's a portkey.  ","  portkey.  ","  portkey  ","  portkey  "," portkey ","portkey"
"33","AMOS","HARRY","Time to go. Ready?  ","time to go. ready?  ","time to go. ready?  ","time  go. ready?  ","time  go ready  ","time  go ready  ","time go ready ","time go ready"
"34","HARRY","AMOS","What's a 'portkey'?  ","what's a 'portkey'?  ","what's a 'portkey'?  ","  'portkey'?  ","  portkey  ","  portkey  "," portkey ","portkey"
"35","AMOS","HARRY","After 3. One... Two...  ","after 3. one... two...  ","after . one... two...  "," . one... two...  ","  one two  ","  one two  "," one two ","one two"
"36","ARTHUR","HARRY","Harry!  ","harry!  ","harry!  ","harry!  ","harry  ","harry  ","harry ","harry"
"37","AMOS","HARRY","Three!  ","three!  ","three!  ","three!  ","three  ","three  ","three ","three"
"38","ARTHUR","HERMIONE","Let go kids!  ","let go kids!  ","let go kids!  ","let go kids!  ","let go kids  ","let go kids  ","let go kids ","let go kid"
"39","HERMIONE","ARTHUR","What??  ","what??  ","what??  ","??  ","  ","  "," ",""
"40","ARTHUR","HERMIONE","Let! Go!  ","let! go!  ","let! go!  ","let! go!  ","let go  ","let go  ","let go ","let go"
"41","ARTHUR","HARRY","I bet that cleared your sinuses eh?  ","i bet that cleared your sinuses eh?  ","i bet that cleared your sinuses eh?  "," bet  cleared  sinuses eh?  "," bet  cleared  sinuses eh  "," bet  cleared  sinuses eh  "," bet cleared sinuses eh ","bet clear sinus eh"
"42","HARRY","CEDRIC","Thanks.  ","thanks.  ","thanks.  ","thanks.  ","thanks  ","thanks  ","thanks ","thank"
"43","ARTHUR","HARRY","Well kids, welcome to the Quidditch  ","well kids, welcome to the quidditch  ","well kids, welcome to the quidditch  ","well kids, welcome   quidditch  ","well kids welcome   quidditch  ","well kids welcome   quidditch  ","well kids welcome quidditch ","good kid welcome quidditch"
"44","ARTHUR","HERMIONE","World Cup!  ","world cup!  ","world cup!  ","world cup!  ","world cup  ","world cup  ","world cup ","world cup"
"45","AMOS","CEDRIC","Parting of the waves I think old chap, see you at the match. ","parting of the waves i think old chap, see you at the match. ","parting of the waves i think old chap, see you at the match. ","parting   waves  think old chap, see    match. ","parting   waves  think old chap see    match ","parting   waves  think old chap see    match ","parting waves think old chap see match ","part wave think old chap see match"
"46","HARRY","CEDRIC","See ya later Cedric.  ","see ya later cedric.  ","see ya later cedric.  ","see ya later cedric.  ","see ya later cedric  ","see ya later cedric  ","see ya later cedric ","see you late cedric"
"47","ARTHUR","RON","Home sweet home.  ","home sweet home.  ","home sweet home.  ","home sweet home.  ","home sweet home  ","home sweet home  ","home sweet home ","home sweet home"
"48","ARTHUR","TWINS","Girls. Choose a bunk and unpack.  ","girls. choose a bunk and unpack.  ","girls. choose a bunk and unpack.  ","girls. choose  bunk  unpack.  ","girls choose  bunk  unpack  ","girls choose  bunk  unpack  ","girls choose bunk unpack ","girl choose bunk unpack"
"49","ARTHUR","RON","Ron, get out of the kitchen we're all hungry.  ","ron, get out of the kitchen we're all hungry.  ","ron, get out of the kitchen we're all hungry.  ","ron, get    kitchen   hungry.  ","ron get    kitchen   hungry  ","ron get    kitchen   hungry  ","ron get kitchen hungry ","ron get kitchen hungry"
"50","TWINS","RON","Yeah get out of the kitchen Ron.  ","yeah get out of the kitchen ron.  ","yeah get out of the kitchen ron.  ","yeah get    kitchen ron.  ","yeah get    kitchen ron  ","yeah get    kitchen ron  ","yeah get kitchen ron ","yes get kitchen ron"
"51","ARTHUR","TWINS","Feet off the table.  ","feet off the table.  ","feet off the table.  ","feet   table.  ","feet   table  ","feet   table  ","feet table ","foot table"
"52","TWINS","ARTHUR","Feet off the table.  ","feet off the table.  ","feet off the table.  ","feet   table.  ","feet   table  ","feet   table  ","feet table ","foot table"
"53","HARRY","TWINS","(Smiling) I love magic.  ","(smiling) i love magic.  ","(smiling) i love magic.  ","(smiling)  love magic.  ","smiling  love magic  ","smiling  love magic  ","smiling love magic ","smile love magic"
"54","RON","ARTHUR","Blimey Dad, how far up ARE we?  ","blimey dad, how far up are we?  ","blimey dad, how far up are we?  ","blimey dad,  far   ?  ","blimey dad  far     ","blimey dad  far     ","blimey dad far ","blimey dad far"
"55","LUCIUS","DRACO","Well put it this way, if it rains... you'll be the first to know ","well put it this way, if it rains... you'll be the first to know ","well put it this way, if it rains... you'll be the first to know ","well put   way,   rains...    first  know ","well put   way   rains    first  know ","well put   way   rains    first  know ","well put way rains first know ","good put way rain first know"
"56","DRACO","LUCIUS","Father and I are in the minister's box, by personal invitation of Cornelius Fudge himself.","father and i are in the minister's box, by personal invitation of cornelius fudge himself.","father and i are in the minister's box, by personal invitation of cornelius fudge himself.","father      minister's box,  personal invitation  cornelius fudge .","father      ministers box  personal invitation  cornelius fudge ","father      ministers box  personal invitation  cornelius fudge ","father ministers box personal invitation cornelius fudge ","father minister box personal invitation cornelius fudge"
"57","LUCIUS","DRACO","Don't boast Draco. There's no need with these people. Do enjoy yourself won't you. While you can.","don't boast draco. there's no need with these people. do enjoy yourself won't you. while you can.","don't boast draco. there's no need with these people. do enjoy yourself won't you. while you can."," boast draco.   need   people.  enjoy   .   can."," boast draco   need   people  enjoy      can"," boast draco   need   people  enjoy      can"," boast draco need people enjoy can","boast draco need people enjoy can"
"58","ARTHUR","RON","Come on up, take your seats. I told you these seats would be worth waiting for.","come on up, take your seats. i told you these seats would be worth waiting for.","come on up, take your seats. i told you these seats would be worth waiting for.","come  , take  seats.  told   seats   worth waiting .","come   take  seats  told   seats   worth waiting ","come   take  seats  told   seats   worth waiting ","come take seats told seats worth waiting ","come take seat tell seat worth wait"
"59","GEORGE","FRED","Come on!  ","come on!  ","come on!  ","come !  ","come   ","come   ","come ","come"
"60","FRED","GEORGE","It's the Irish!  ","it's the irish!  ","it's the irish!  ","  irish!  ","  irish  ","  irish  "," irish ","irish"
"61","GEORGE","FRED","Here come the Bulgarians!  ","here come the bulgarians!  ","here come the bulgarians!  "," come  bulgarians!  "," come  bulgarians  "," come  bulgarians  "," come bulgarians ","come bulgarian"
"62","WEASLEYS","GEORGE","Krum!!!  ","krum!!!  ","krum!!!  ","krum!!!  ","krum  ","krum  ","krum ","krum"
"63","GEORGE","WEASLEYS","Yes!  ","yes!  ","yes!  ","yes!  ","yes  ","yes  ","yes ","yes"
"64","ANNOUNCER","SPECTATORS","Good evening! It gives me great pleasure  ","good evening! it gives me great pleasure  ","good evening! it gives me great pleasure  ","good evening!  gives  great pleasure  ","good evening  gives  great pleasure  ","good evening  gives  great pleasure  ","good evening gives great pleasure ","good even give great pleasure"
"65","ANNOUNCER","","to welcome each and every one of you  ","to welcome each and every one of you  ","to welcome each and every one of you  "," welcome   every one    "," welcome   every one    "," welcome   every one    "," welcome every one ","welcome every one"
"66","ANNOUNCER","","to the final of the 422nd Quidditch  ","to the final of the 422nd quidditch  ","to the final of the nd quidditch  ","  final   nd quidditch  ","  final   nd quidditch  ","  final   nd quidditch  "," final nd quidditch ","final nd quidditch"
"67","ANNOUNCER","","World Cup. Let the match begin!  ","world cup. let the match begin!  ","world cup. let the match begin!  ","world cup. let  match begin!  ","world cup let  match begin  ","world cup let  match begin  ","world cup let match begin ","world cup let match begin"
"68","RON","TWINS","There's no one like Krum. He's like a bird the way he rides the wind. He's more than an athlete, he's an artist.","there's no one like krum. he's like a bird the way he rides the wind. he's more than an athlete, he's an artist.","there's no one like krum. he's like a bird the way he rides the wind. he's more than an athlete, he's an artist.","  one like krum.  like  bird  way  rides  wind.     athlete,   artist.","  one like krum  like  bird  way  rides  wind     athlete   artist","  one like krum  like  bird  way  rides  wind     athlete   artist"," one like krum like bird way rides wind athlete artist","one like krum like bird way ride wind athlete artist"
"69","GINNY","RON","Think you're in love Ron?  ","think you're in love ron?  ","think you're in love ron?  ","think   love ron?  ","think   love ron  ","think   love ron  ","think love ron ","think love ron"
"70","TWINS","RON","(Singing) Viktor I love you! Viktor  ","(singing) viktor i love you! viktor  ","(singing) viktor i love you! viktor  ","(singing) viktor  love ! viktor  ","singing viktor  love  viktor  ","singing viktor  love  viktor  ","singing viktor love viktor ","sing viktor love viktor"
"71","TWINS","RON","I do!  ","i do!  ","i do!  "," !  ","   ","   "," ",""
"72","BOYS","RON","When we're apart my heart beats only  ","when we're apart my heart beats only  ","when we're apart my heart beats only  ","  apart  heart beats   ","  apart  heart beats   ","  apart  heart beats   "," apart heart beats ","apart heart beat"
"73","BOYS","RON","for youuu!  ","for youuu!  ","for youuu!  "," youuu!  "," youuu  "," youuu  "," youuu ","youuu"
"74","FRED","ARTHUR","Sounds like the irish have got their pride on. ","sounds like the irish have got their pride on. ","sounds like the irish have got their pride on. ","sounds like  irish  got  pride . ","sounds like  irish  got  pride  ","sounds like  irish  got  pride  ","sounds like irish got pride ","sound like irish get pride"
"75","ARTHUR","FRED","Stop! Stop it. It's not the irish. We've gotta get out of here. Now. ","stop! stop it. it's not the irish. we've gotta get out of here. now. ","stop! stop it. it's not the irish. we've gotta get out of here. now. ","stop! stop .    irish.  gotta get   . now. ","stop stop     irish  gotta get    now ","stop stop     irish  gotta get    now ","stop stop irish gotta get now ","stop stop irish gotta get now"
"76","ARTHUR","FRED","Get back to the portkey everybody, and stick together. Fred, George... Ginny is your responsibility.","get back to the portkey everybody, and stick together. fred, george... ginny is your responsibility.","get back to the portkey everybody, and stick together. fred, george... ginny is your responsibility.","get back   portkey everybody,  stick together. fred, george... ginny   responsibility.","get back   portkey everybody  stick together fred george ginny   responsibility","get back   portkey everybody  stick together fred george ginny   responsibility","get back portkey everybody stick together fred george ginny responsibility","get back portkey everybody stick together fred george ginny responsibility"
"77","RON","HARRY","Been looking for you for ages. Thought we lost you. ","been looking for you for ages. thought we lost you. ","been looking for you for ages. thought we lost you. "," looking    ages. thought  lost . "," looking    ages thought  lost  "," looking    ages thought  lost  "," looking ages thought lost ","look age think lose"
"78","HARRY","RON","What is THAT?  ","what is that?  ","what is that?  ","  ?  ","    ","    "," ",""
"79","ARTHUR","BARTY","Stop! That's my son.  ","stop! that's my son.  ","stop! that's my son.  ","stop!   son.  ","stop   son  ","stop   son  ","stop son ","stop son"
"80","ARTHUR","RON","Ron, Harry, Hermione are you alright?  ","ron, harry, hermione are you alright?  ","ron, harry, hermione are you alright?  ","ron, harry, hermione   alright?  ","ron harry hermione   alright  ","ron harry hermione   alright  ","ron harry hermione alright ","ron harry hermione alright"
"81","ARTHUR","HARRY","Ron, Harry, Hermione are you alright?  ","ron, harry, hermione are you alright?  ","ron, harry, hermione are you alright?  ","ron, harry, hermione   alright?  ","ron harry hermione   alright  ","ron harry hermione   alright  ","ron harry hermione alright ","ron harry hermione alright"
"82","ARTHUR","HERMIONE","Ron, Harry, Hermione are you alright?  ","ron, harry, hermione are you alright?  ","ron, harry, hermione are you alright?  ","ron, harry, hermione   alright?  ","ron harry hermione   alright  ","ron harry hermione   alright  ","ron harry hermione alright ","ron harry hermione alright"
"83","BARTY","ARTHUR","Which of you conjured this?  ","which of you conjured this?  ","which of you conjured this?  ","   conjured ?  ","   conjured   ","   conjured   "," conjured ","conjure"
"84","ARTHUR","BARTY","You can't possibly..  ","you can't possibly..  ","you can't possibly..  ","  possibly..  ","  possibly  ","  possibly  "," possibly ","possibly"
"85","BARTY","ARTHUR","Do not lie! You have been discovered at the scene of the crime! ","do not lie! you have been discovered at the scene of the crime! ","do not lie! you have been discovered at the scene of the crime! ","  lie!    discovered   scene   crime! ","  lie    discovered   scene   crime ","  lie    discovered   scene   crime "," lie discovered scene crime ","lie discover scene crime"
"86","HARRY","BARTY","Crime?  ","crime?  ","crime?  ","crime?  ","crime  ","crime  ","crime ","crime"
"87","ARTHUR","BARTY","Barty, they're just kids.  ","barty, they're just kids.  ","barty, they're just kids.  ","barty,  just kids.  ","barty  just kids  ","barty  just kids  ","barty just kids ","barty just kid"
"88","HARRY","BARTY","What crime?  ","what crime?  ","what crime?  "," crime?  "," crime  "," crime  "," crime ","crime"
"89","HERMIONE","HARRY","Harry it's his mark.  ","harry it's his mark.  ","harry it's his mark.  ","harry   mark.  ","harry   mark  ","harry   mark  ","harry mark ","harry mark"
"90","HARRY","HERMIONE","Those people tonight, in the masks... they're his too aren't they? they're his followers.","those people tonight, in the masks... they're his too aren't they? they're his followers.","those people tonight, in the masks... they're his too aren't they? they're his followers."," people tonight,   masks...     ?   followers."," people tonight   masks        followers"," people tonight   masks        followers"," people tonight masks followers","people tonight mask follower"
"91","BARTY","HARRY","Follow me.  ","follow me.  ","follow me.  ","follow .  ","follow   ","follow   ","follow ","follow"
"92","HARRY","BARTY","There was a man. Before. There.  ","there was a man. before. there.  ","there was a man. before. there.  ","   man. . .  ","   man    ","   man    "," man ","man"
"93","BARTY","HARRY","All of you, this way.  ","all of you, this way.  ","all of you, this way.  ","  ,  way.  ","    way  ","    way  "," way ","way"
"94","ARTHUR","HARRY","Harry, who?  ","harry, who?  ","harry, who?  ","harry, ?  ","harry   ","harry   ","harry ","harry"
"95","HARRY","ARTHUR","I dunno. I didn't see his face.  ","i dunno. i didn't see his face.  ","i dunno. i didn't see his face.  "," dunno.   see  face.  "," dunno   see  face  "," dunno   see  face  "," dunno see face ","dunno see face"
"96","LADY","RON","Anything from the trolley? Anything from the trolley? ","anything from the trolley? anything from the trolley? ","anything from the trolley? anything from the trolley? ","anything   trolley? anything   trolley? ","anything   trolley anything   trolley ","anything   trolley anything   trolley ","anything trolley anything trolley ","anything trolley anything trolley"
"97","LADY","RON","Anything from the trolley dears?  ","anything from the trolley dears?  ","anything from the trolley dears?  ","anything   trolley dears?  ","anything   trolley dears  ","anything   trolley dears  ","anything trolley dears ","anything trolley dear"
"98","RON","LADY","Packet of drewbals and a liquorice wand.  ","packet of drewbals and a liquorice wand.  ","packet of drewbals and a liquorice wand.  ","packet  drewbals   liquorice wand.  ","packet  drewbals   liquorice wand  ","packet  drewbals   liquorice wand  ","packet drewbals liquorice wand ","packet drewbals liquorice wand"
"99","RON","LADY","On second thought, just the drewbals.  ","on second thought, just the drewbals.  ","on second thought, just the drewbals.  "," second thought, just  drewbals.  "," second thought just  drewbals  "," second thought just  drewbals  "," second thought just drewbals ","2 think just drewbals"
"100","HARRY","RON","It's alright I'll get it.  ","it's alright i'll get it.  ","it's alright i'll get it.  "," alright  get .  "," alright  get   "," alright  get   "," alright get ","alright get"
"101","RON","HARRY","Just the drewbals, thanks.  ","just the drewbals, thanks.  ","just the drewbals, thanks.  ","just  drewbals, thanks.  ","just  drewbals thanks  ","just  drewbals thanks  ","just drewbals thanks ","just drewbals thank"
"102","CHO","LADY","Two pumpkin pasties please.  ","two pumpkin pasties please.  ","two pumpkin pasties please.  ","two pumpkin pasties please.  ","two pumpkin pasties please  ","two pumpkin pasties please  ","two pumpkin pasties please ","two pumpkin pasty please"
"103","CHO","LADY","Thank you.  ","thank you.  ","thank you.  ","thank .  ","thank   ","thank   ","thank ","thank"
"104","LADY","HARRY","Anything sweet for you dear?  ","anything sweet for you dear?  ","anything sweet for you dear?  ","anything sweet   dear?  ","anything sweet   dear  ","anything sweet   dear  ","anything sweet dear ","anything sweet dear"
"105","HARRY","LADY","Oh no thank you I'm not hungry.  ","oh no thank you i'm not hungry.  ","oh no thank you i'm not hungry.  ","oh  thank    hungry.  ","oh  thank    hungry  ","oh  thank    hungry  ","oh thank hungry ","oh thank hungry"
"106","HERMIONE","RON","This is horrible, how can the ministry not know who conjured it. Isn't there any security or?","this is horrible, how can the ministry not know who conjured it. isn't there any security or?","this is horrible, how can the ministry not know who conjured it. isn't there any security or?","  horrible,  can  ministry  know  conjured .    security ?","  horrible  can  ministry  know  conjured     security ","  horrible  can  ministry  know  conjured     security "," horrible can ministry know conjured security ","horrible can ministry know conjure security"
"107","RON","HERMIONE","Loads according to Dad, that's what worried them so much. Happened right under their noses.","loads according to dad, that's what worried them so much. happened right under their noses.","loads according to dad, that's what worried them so much. happened right under their noses.","loads according  dad,   worried   much. happened right   noses.","loads according  dad   worried   much happened right   noses","loads according  dad   worried   much happened right   noses","loads according dad worried much happened right noses","load accord dad worry much happen right nose"
"108","HERMIONE","HARRY","It's hurting again isn't it, your scar.  ","it's hurting again isn't it, your scar.  ","it's hurting again isn't it, your scar.  "," hurting   ,  scar.  "," hurting     scar  "," hurting     scar  "," hurting scar ","hurt scar"
"109","HARRY","HERMIONE","I'm fine.  ","i'm fine.  ","i'm fine.  "," fine.  "," fine  "," fine  "," fine ","fine"
"110","HERMIONE","HARRY","You know SIRIUSius will want to hear about this. What you saw at the world cup, and the dream.","you know siriusius will want to hear about this. what you saw at the world cup, and the dream.","you know siriusius will want to hear about this. what you saw at the world cup, and the dream."," know siriusius will want  hear  .   saw   world cup,   dream."," know siriusius will want  hear     saw   world cup   dream"," know siriusius will want  hear     saw   world cup   dream"," know siriusius will want hear saw world cup dream","know siriusius will want hear see world cup dream"
"111","HAGRID","HARRY","Clear the runway.  ","clear the runway.  ","clear the runway.  ","clear  runway.  ","clear  runway  ","clear  runway  ","clear runway ","clear runway"
"112","HARRY","HAGRID","Well there's something you don't see every day. ","well there's something you don't see every day. ","well there's something you don't see every day. ","well  something   see every day. ","well  something   see every day ","well  something   see every day ","well something see every day ","good something see every day"
"113","DUMBLEDORE","STUDENTS","Now we're all settled in and sorted, I'd like to make an announcement. This castle will not only be your home this year but home to some very special guests as well. You see Hogwarts has been choosen... ","now we're all settled in and sorted, i'd like to make an announcement. this castle will not only be your home this year but home to some very special guests as well. you see hogwarts has been choosen... ","now we're all settled in and sorted, i'd like to make an announcement. this castle will not only be your home this year but home to some very special guests as well. you see hogwarts has been choosen... ","now   settled   sorted,  like  make  announcement.  castle will     home  year  home    special guests  well.  see hogwarts   choosen... ","now   settled   sorted  like  make  announcement  castle will     home  year  home    special guests  well  see hogwarts   choosen ","now   settled   sorted  like  make  announcement  castle will     home  year  home    special guests  well  see hogwarts   choosen ","now settled sorted like make announcement castle will home year home special guests well see hogwarts choosen ","now settle sort like make announcement castle will home year home special guest good see hogwarts choosen"
